Car,Gear,Ratio,Redline_RPM,Top_Speed_Redline_mph,Shift_Point_mph,Speed_Range
"Ferrari LaFerrari",2,2.90,9250,76,76,"50-76 mph"
"Ferrari LaFerrari",3,2.18,9250,101,101,"76-101 mph"
"Ferrari LaFerrari",4,1.71,9250,129,129,"101-129 mph"
"Ferrari LaFerrari",5,1.35,9250,163,163,"129-163 mph"
"Ferrari LaFerrari",6,1.08,9250,201,201,"163-201 mph"
"Ferrari LaFerrari",7,0.87,9250,221,221,"201-221 mph"

"Koenigsegg Regera",1,2.73,8250,249,249,"0-249 mph"

"Koenigsegg Agera RS",1,3.95,8250,61,61,"0-61 mph"
"Koenigsegg Agera RS",2,2.73,8250,88,88,"61-88 mph"
"Koenigsegg Agera RS",3,2.00,8250,120,120,"88-120 mph"
"Koenigsegg Agera RS",4,1.55,8250,155,155,"120-155 mph"
"Koenigsegg Agera RS",5,1.20,8250,200,200,"155-200 mph"
"Koenigsegg Agera RS",6,0.95,8250,245,245,"200-245 mph"
"Koenigsegg Agera RS",7,0.74,8250,284,284,"245-284 mph"

"Bugatti Veyron Super Sport",1,4.30,6900,55,55,"0-55 mph"
"Bugatti Veyron Super Sport",2,2.58,6900,92,92,"55-92 mph"
"Bugatti Veyron Super Sport",3,1.91,6900,124,124,"92-124 mph"
"Bugatti Veyron Super Sport",4,1.46,6900,162,162,"124-162 mph"
"Bugatti Veyron Super Sport",5,1.13,6900,199,199,"162-199 mph"
"Bugatti Veyron Super Sport",6,0.90,6900,236,236,"199-236 mph"
"Bugatti Veyron Super Sport",7,0.71,6900,268,268,"236-268 mph"

"Pagani Zonda R",1,4.25,8800,52,52,"0-52 mph"
"Pagani Zonda R",2,2.80,8800,79,79,"52-79 mph"
"Pagani Zonda R",3,2.07,8800,107,107,"79-107 mph"
"Pagani Zonda R",4,1.60,8800,138,138,"107-138 mph"
"Pagani Zonda R",5,1.24,8800,175,175,"138-175 mph"
"Pagani Zonda R",6,0.98,8800,220,220,"175-220 mph"

"Mercedes-AMG ONE",1,4.65,11000,42,42,"0-42 mph"
"Mercedes-AMG ONE",2,3.05,11000,68,68,"42-68 mph"
"Mercedes-AMG ONE",3,2.26,11000,92,92,"68-92 mph"
"Mercedes-AMG ONE",4,1.73,11000,118,118,"92-118 mph"
"Mercedes-AMG ONE",5,1.34,11000,149,149,"118-149 mph"
"Mercedes-AMG ONE",6,1.06,11000,185,185,"149-185 mph"
"Mercedes-AMG ONE",7,0.85,11000,219,219,"185-219 mph"
"Mercedes-AMG ONE",8,0.68,11000,219,219,"219-219 mph"

"Gordon Murray T.50",1,4.60,12100,40,40,"0-40 mph"
"Gordon Murray T.50",2,3.02,12100,66,66,"40-66 mph"
"Gordon Murray T.50",3,2.24,12100,89,89,"66-89 mph"
"Gordon Murray T.50",4,1.72,12100,116,116,"89-116 mph"
"Gordon Murray T.50",5,1.33,12100,146,146,"116-146 mph"
"Gordon Murray T.50",6,1.05,12100,183,183,"146-183 mph"

"Czinger 21C",1,4.38,11000,48,48,"0-48 mph"
"Czinger 21C",2,2.88,11000,77,77,"48-77 mph"
"Czinger 21C",3,2.13,11000,104,104,"77-104 mph"
"Czinger 21C",4,1.64,11000,135,135,"104-135 mph"
"Czinger 21C",5,1.27,11000,170,170,"135-170 mph"
"Czinger 21C",6,1.00,11000,210,210,"170-210 mph"
"Czinger 21C",7,0.79,11000,253,253,"210-253 mph"

"Lotus Evija",1,4.80,N/A,168,168,"0-168 mph"
"Lotus Evija",2,3.50,N/A,230,230,"168-230 mph"

"Aspark Owl",1,5.50,N/A,180,180,"0-180 mph"
"Aspark Owl",2,4.00,N/A,249,249,"180-249 mph"

"Pininfarina Battista",1,5.30,N/A,175,175,"0-175 mph"
"Pininfarina Battista",2,3.90,N/A,217,217,"175-217 mph"

"Lamborghini Aventador SVJ",1,4.18,8500,56,56,"0-56 mph"
"Lamborghini Aventador SVJ",2,2.76,8500,85,85,"56-85 mph"
"Lamborghini Aventador SVJ",3,2.05,8500,114,114,"85-114 mph"
"Lamborghini Aventador SVJ",4,1.58,8500,148,148,"114-148 mph"
"Lamborghini Aventador SVJ",5,1.22,8500,188,188,"148-188 mph"
"Lamborghini Aventador SVJ",6,0.97,8500,217,217,"188-217 mph"
"Lamborghini Aventador SVJ",7,0.78,8500,221,221,"217-221 mph"

"Ferrari F8 Tributo",1,4.48,8000,47,47,"0-47 mph"
"Ferrari F8 Tributo",2,3.00,8000,70,70,"47-70 mph"
"Ferrari F8 Tributo",3,2.25,8000,94,94,"70-94 mph"
"Ferrari F8 Tributo",4,1.77,8000,120,120,"94-120 mph"
"Ferrari F8 Tributo",5,1.40,8000,151,151,"120-151 mph"
"Ferrari F8 Tributo",6,1.12,8000,186,186,"151-186 mph"
"Ferrari F8 Tributo",7,0.90,8000,211,211,"186-211 mph"

"McLaren 765LT",1,4.38,8500,50,50,"0-50 mph"
"McLaren 765LT",2,2.90,8500,76,76,"50-76 mph"
"McLaren 765LT",3,2.16,8500,102,102,"76-102 mph"
"McLaren 765LT",4,1.68,8500,131,131,"102-131 mph"
"McLaren 765LT",5,1.33,8500,165,165,"131-165 mph"
"McLaren 765LT",6,1.07,8500,205,205,"165-205 mph"
"McLaren 765LT",7,0.86,8500,205,205,"205-205 mph"

"Porsche 911 GT2 RS",1,4.69,7000,41,41,"0-41 mph"
"Porsche 911 GT2 RS",2,3.05,7000,63,63,"41-63 mph"
"Porsche 911 GT2 RS",3,2.27,7000,85,85,"63-85 mph"
"Porsche 911 GT2 RS",4,1.78,7000,108,108,"85-108 mph"
"Porsche 911 GT2 RS",5,1.41,7000,135,135,"108-135 mph"
"Porsche 911 GT2 RS",6,1.13,7000,167,167,"135-167 mph"
"Porsche 911 GT2 RS",7,0.91,7000,211,211,"167-211 mph"

"McLaren Senna",1,4.42,8500,49,49,"0-49 mph"
"McLaren Senna",2,2.92,8500,75,75,"49-75 mph"
"McLaren Senna",3,2.18,8500,101,101,"75-101 mph"
"McLaren Senna",4,1.70,8500,129,129,"101-129 mph"
"McLaren Senna",5,1.34,8500,163,163,"129-163 mph"
"McLaren Senna",6,1.08,8500,202,202,"163-202 mph"
"McLaren Senna",7,0.87,8500,211,211,"202-211 mph"

"Lamborghini Sian FKP 37",1,4.20,8500,55,55,"0-55 mph"
"Lamborghini Sian FKP 37",2,2.77,8500,84,84,"55-84 mph"
"Lamborghini Sian FKP 37",3,2.06,8500,113,113,"84-113 mph"
"Lamborghini Sian FKP 37",4,1.59,8500,146,146,"113-146 mph"
"Lamborghini Sian FKP 37",5,1.23,8500,186,186,"146-186 mph"
"Lamborghini Sian FKP 37",6,0.98,8500,217,217,"186-217 mph"
"Lamborghini Sian FKP 37",7,0.79,8500,220,220,"217-220 mph"

"Ford GT",1,4.71,7000,40,40,"0-40 mph"
"Ford GT",2,3.14,7000,60,60,"40-60 mph"
"Ford GT",3,2.36,7000,80,80,"60-80 mph"
"Ford GT",4,1.85,7000,102,102,"80-102 mph"
"Ford GT",5,1.46,7000,129,129,"102-129 mph"
"Ford GT",6,1.17,7000,160,160,"129-160 mph"
"Ford GT",7,0.94,7000,216,216,"160-216 mph"

"Acura NSX Type S",1,4.52,7500,43,43,"0-43 mph"
"Acura NSX Type S",2,3.01,7500,65,65,"43-65 mph"
"Acura NSX Type S",3,2.26,7500,87,87,"65-87 mph"
"Acura NSX Type S",4,1.77,7500,111,111,"87-111 mph"
"Acura NSX Type S",5,1.40,7500,140,140,"111-140 mph"
"Acura NSX Type S",6,1.12,7500,174,174,"140-174 mph"
"Acura NSX Type S",7,0.90,7500,191,191,"174-191 mph"
"Acura NSX Type S",8,0.73,7500,191,191,"191-191 mph"
"Acura NSX Type S",9,0.60,7500,191,191,"191-191 mph"

"Chevrolet Corvette Z06",1,4.56,8400,45,45,"0-45 mph"
"Chevrolet Corvette Z06",2,3.02,8400,68,68,"45-68 mph"
"Chevrolet Corvette Z06",3,2.26,8400,91,91,"68-91 mph"
"Chevrolet Corvette Z06",4,1.77,8400,116,116,"91-116 mph"
"Chevrolet Corvette Z06",5,1.40,8400,147,147,"116-147 mph"
"Chevrolet Corvette Z06",6,1.12,8400,183,183,"147-183 mph"
"Chevrolet Corvette Z06",7,0.90,8400,194,194,"183-194 mph"
"Chevrolet Corvette Z06",8,0.73,8400,195,195,"194-195 mph"

"Dodge Viper ACR",1,4.78,6200,38,38,"0-38 mph"
"Dodge Viper ACR",2,3.15,6200,57,57,"38-57 mph"
"Dodge Viper ACR",3,2.33,6200,77,77,"57-77 mph"
"Dodge Viper ACR",4,1.79,6200,100,100,"77-100 mph"
"Dodge Viper ACR",5,1.39,6200,129,129,"100-129 mph"
"Dodge Viper ACR",6,1.10,6200,161,161,"129-161 mph"

"Nissan GT-R Nismo",1,4.22,7000,50,50,"0-50 mph"
"Nissan GT-R Nismo",2,2.78,7000,76,76,"50-76 mph"
"Nissan GT-R Nismo",3,2.06,7000,102,102,"76-102 mph"
"Nissan GT-R Nismo",4,1.59,7000,132,132,"102-132 mph"
"Nissan GT-R Nismo",5,1.23,7000,169,169,"132-169 mph"
"Nissan GT-R Nismo",6,0.97,7000,196,196,"169-196 mph"

"Lexus LFA",1,4.75,9000,43,43,"0-43 mph"
"Lexus LFA",2,3.13,9000,66,66,"43-66 mph"
"Lexus LFA",3,2.32,9000,89,89,"66-89 mph"
"Lexus LFA",4,1.78,9000,116,116,"89-116 mph"
"Lexus LFA",5,1.38,9000,150,150,"116-150 mph"
"Lexus LFA",6,1.09,9000,202,202,"150-202 mph"

"Audi R8 V10 Performance",1,4.45,8700,47,47,"0-47 mph"
"Audi R8 V10 Performance",2,2.95,8700,71,71,"47-71 mph"
"Audi R8 V10 Performance",3,2.21,8700,95,95,"71-95 mph"
"Audi R8 V10 Performance",4,1.73,8700,122,122,"95-122 mph"
"Audi R8 V10 Performance",5,1.37,8700,154,154,"122-154 mph"
"Audi R8 V10 Performance",6,1.10,8700,191,191,"154-191 mph"
"Audi R8 V10 Performance",7,0.88,8700,205,205,"191-205 mph"

"Ferrari 812 Superfast",1,4.35,8900,51,51,"0-51 mph"
"Ferrari 812 Superfast",2,2.88,8900,77,77,"51-77 mph"
"Ferrari 812 Superfast",3,2.15,8900,103,103,"77-103 mph"
"Ferrari 812 Superfast",4,1.69,8900,131,131,"103-131 mph"
"Ferrari 812 Superfast",5,1.33,8900,166,166,"131-166 mph"
"Ferrari 812 Superfast",6,1.07,8900,206,206,"166-206 mph"
"Ferrari 812 Superfast",7,0.86,8900,211,211,"206-211 mph"

"Lamborghini Huracan STO",1,4.25,8500,53,53,"0-53 mph"
"Lamborghini Huracan STO",2,2.81,8500,80,80,"53-80 mph"
"Lamborghini Huracan STO",3,2.09,8500,107,107,"80-107 mph"
"Lamborghini Huracan STO",4,1.61,8500,139,139,"107-139 mph"
"Lamborghini Huracan STO",5,1.25,8500,178,178,"139-178 mph"
"Lamborghini Huracan STO",6,0.99,8500,193,193,"178-193 mph"
"Lamborghini Huracan STO",7,0.79,8500,193,193,"193-193 mph"

"McLaren 720S",1,4.40,8500,50,50,"0-50 mph"
"McLaren 720S",2,2.91,8500,76,76,"50-76 mph"
"McLaren 720S",3,2.17,8500,102,102,"76-102 mph"
"McLaren 720S",4,1.69,8500,131,131,"102-131 mph"
"McLaren 720S",5,1.34,8500,165,165,"131-165 mph"
"McLaren 720S",6,1.07,8500,212,212,"165-212 mph"
"McLaren 720S",7,0.86,8500,212,212,"212-212 mph"

"Porsche 911 Turbo S",1,4.59,7000,42,42,"0-42 mph"
"Porsche 911 Turbo S",2,2.98,7000,65,65,"42-65 mph"
"Porsche 911 Turbo S",3,2.22,7000,87,87,"65-87 mph"
"Porsche 911 Turbo S",4,1.74,7000,111,111,"87-111 mph"
"Porsche 911 Turbo S",5,1.37,7000,140,140,"111-140 mph"
"Porsche 911 Turbo S",6,1.10,7000,174,174,"140-174 mph"
"Porsche 911 Turbo S",7,0.88,7000,205,205,"174-205 mph"
"Porsche 911 Turbo S",8,0.71,7000,205,205,"205-205 mph"
